kepoi_name,koi_disposition,ra,dec,koi_period,koi_time0bk,koi_eccen,koi_longp,koi_incl,koi_impact,koi_sma,koi_duration,koi_depth,koi_ingress,koi_prad,koi_insol,koi_teq,koi_srad,koi_smass,koi_sage,koi_steff,koi_slogg,koi_smet,koi_kepmag,data_source,koi_smass_calculated,koi_sma_calculated,koi_incl_calculated
K00752.01,CONFIRMED,291.93423,48.141651,9.48803557,2455003.53875,0.0,,89.66,0.146,0.0853,2.9575,615.8,,2.26,93.59,793.0,0.927,0.919,,5455.0,4.467,0.14,15.347,Kepler,False,False,False
K00752.02,CONFIRMED,291.93423,48.141651,54.4183827,2454995.51384,0.0,,89.57,0.586,0.2734,4.507,874.8,,2.83,9.11,443.0,0.927,0.919,,5455.0,4.467,0.14,15.347,Kepler,False,False,False
K00753.01,CANDIDATE,297.00482,48.134129,19.89913995,2455008.850252,0.0,,88.96,0.969,0.1419,1.7822,10829.0,,14.6,39.3,638.0,0.868,0.961,,5853.0,4.544,-0.18,15.436,Kepler,False,False,False
K00754.01,FALSE POSITIVE,285.53461,48.28521,1.736952453,2455003.307565,0.0,,67.09,1.276,0.0267,2.40641,8079.2,,33.46,891.96,1395.0,0.791,0.836,,5805.0,4.564,-0.52,15.597,Kepler,False,False,False
K00755.01,CONFIRMED,288.75488,48.2262,2.525591777,2455004.59555,0.0,,85.41,0.701,0.0374,1.6545,603.3,,2.75,926.16,1406.0,1.046,1.095,,6031.0,4.438,0.07,15.509,Kepler,False,False,False
K00756.01,CONFIRMED,296.28613,48.22467,11.09432054,2455004.20116,0.0,,88.11,0.538,0.0992,4.5945,1517.5,,3.9,114.81,835.0,0.972,1.053,,6046.0,4.486,-0.08,15.714,Kepler,False,False,False
K00756.02,CONFIRMED,296.28613,48.22467,4.13443512,2455005.97937,0.0,,83.72,0.762,0.0514,3.1402,686.0,,2.77,427.65,1160.0,0.972,1.053,,6046.0,4.486,-0.08,15.714,Kepler,False,False,False
K00756.03,CONFIRMED,296.28613,48.22467,2.56658897,2455012.55437,0.0,,82.17,0.755,0.0374,2.429,226.5,,1.59,807.74,1360.0,0.972,1.053,,6046.0,4.486,-0.08,15.714,Kepler,False,False,False
K00114.01,FALSE POSITIVE,298.86435,42.151569,7.36178958,2454965.25053,0.0,,60.92,1.169,0.082,5.022,233.7,,39.21,767.22,1342.0,1.958,1.358,,6227.0,3.986,0.0,12.66,Kepler,False,False,False
K00757.01,CONFIRMED,286.99948,48.37579,16.06864674,2455006.621937,0.0,,89.92,0.052,0.1158,3.5347,4914.3,,5.76,30.75,600.0,0.848,0.801,,5031.0,4.485,0.16,15.841,Kepler,False,False,False
K00001.01,CONFIRMED,286.80847,49.316399,2.470613377,2454955.763305,0.0,,84.41,0.818,0.0354,1.74319,14231.0,,13.04,761.46,1339.0,0.964,0.971,,5820.0,4.457,-0.06,11.338,Kepler,False,False,False
K00002.01,CONFIRMED,292.24728,47.969521,2.204735417,2454954.3585417,0.0,,87.21,0.224,0.0376,3.88864,6674.7,,16.1,4148.92,2048.0,1.952,1.449,,6440.0,4.019,0.14,10.463,Kepler,False,False,False
K00010.01,CONFIRMED,281.28812,42.45108,3.522498429,2454954.1194228,0.0,,85.2,0.631,0.0473,3.19843,9145.7,,14.59,1264.67,1521.0,1.451,1.132,,6225.0,4.169,-0.04,13.563,Kepler,False,False,False
K00112.02,CONFIRMED,295.64871,48.49556,3.709214104,2454966.98318,0.0,,89.73,0.051,0.0465,2.6302,131.1,,1.16,500.46,1206.0,1.022,0.974,,5833.0,4.407,-0.04,12.772,Kepler,False,False,False
