rowid,toi,toipfx,tid,ctoi_alias,pl_pnum,tfopwg_disp,rastr,ra,decstr,dec,st_pmra,st_pmrasymerr,st_pmdec,st_pmdecsymerr,pl_tranmid,pl_tranmidsymerr,pl_orbper,pl_orbpersymerr,pl_trandurh,pl_trandurhsymerr,pl_trandep,pl_trandepsymerr,pl_rade,pl_radesymerr,pl_insol,pl_insolsymerr,pl_eqt,pl_eqtsymerr,st_tmag,st_tmagsymerr,st_dist,st_distsymerr,st_teff,st_teffsymerr,st_logg,st_loggsymerr,st_rad,st_radsymerr,toi_created,rowupdate,ra_error,dec_error,st_pmra_error,st_pmdec_error,pl_tranmid_error,pl_orbper_error,pl_trandurh_error,pl_trandep_error,pl_rade_error,pl_insol_error,pl_eqt_error,st_tmag_error,st_dist_error,st_teff_error,st_logg_error,st_rad_error
1,1000.01,1000,50365310,50365310.01,1,FP,07h29m25.85s,112.357708,-12d41m45.46s,-12.69596,-5.964,1.0,-0.076,1.0,2459229.630046,1,2.1713484,1,2.0172196,1,656.8860989,1,5.8181633,1,22601.9485814,,3127.2040524,,9.604,1,485.735,1,10249.0,1,4.19,1,2.16986,1,2019-07-24 15:58:33,2024-09-09 10:08:01,,,0.085,0.072,0.001657,0.0002637,0.3195879,37.77821,1.9105465,,,0.013,11.9515,264.7,0.07,0.0725729
2,1001.01,1001,88863718,88863718.01,1,PC,08h10m19.31s,122.580465,-05d30m49.87s,-5.513852,-4.956,1.0,-15.555,1.0,2459987.948873,1,1.9316462,1,3.166,1,1286.0,1,11.2154,1,44464.5,,4045.0,,9.42344,1,295.862,1,7070.0,1,4.03,1,2.01,1,2019-07-24 15:58:33,2023-04-03 14:31:04,,,0.102,0.072,0.001916,5.3e-06,0.647,1186.49,2.6242,,,0.006,5.91,126.4,0.09,0.09
3,1002.01,1002,124709665,124709665.01,1,FP,06h58m54.47s,104.726966,-10d34m49.64s,-10.580455,-1.462,1.0,-2.249,1.0,2459224.687802,1,1.8675574,1,1.408,1,1500.0,1,23.7529,1,2860.61,,2037.0,,9.299501,1,943.109,1,8924.0,1,,1,5.73,1,2019-07-24 15:58:33,2022-07-11 16:02:02,,,0.206,0.206,0.000625,3e-06,0.184,1.7584,,,,0.058,106.333,124.0,,
4,1003.01,1003,106997505,106997505.01,1,FP,07h22m14.39s,110.559945,-25d12m25.26s,-25.207017,-0.939,1.0,1.64,1.0,2458493.3957,1,2.74323,1,3.167,1,383.41,1,,1,1177.36,,1631.0,,9.3003,1,7728.17,1,5388.5,1,4.15,1,,1,2019-07-24 15:58:33,2022-02-23 10:10:02,,,0.041,0.055,0.00535,0.00108,0.642,0.781988,,,,0.037,1899.57,567.0,1.64,
5,1004.01,1004,238597883,238597883.01,1,FP,08h08m42.77s,122.178195,-48d48m10.12s,-48.802811,-4.496,1.0,9.347,1.0,2459987.047262,1,3.5730141,1,3.37,1,755.0,1,11.3113,1,54679.3,,4260.0,,9.1355,1,356.437,1,9219.0,1,4.14,1,2.15,1,2019-07-24 15:58:33,2024-09-09 10:08:01,,,0.069,0.062,0.003748,1.28e-05,1.029,1306.55,3.24714,,,0.006,4.6175,171.1,0.07,0.06
6,1005.01,1005,169904935,169904935.01,1,FP,08h02m49.15s,120.704811,-11d06m05.48s,-11.101521,-26.932,1.0,-2.901,1.0,2459985.156855,1,4.5505945,1,2.654,1,3731.0,1,7.10841,1,414.775,,1257.0,,9.1309,1,100.711,1,5613.0,1,,1,1.09,1,2019-07-24 15:58:33,2025-07-08 10:08:01,,,1.935,2.06,0.000581,3.1e-06,0.339,123.723,0.474611,,,0.006,14.121,179.9,,0.07
7,1006.01,1006,156115721,156115721.01,1,FP,08h17m26.22s,124.359239,-27d16m24.68s,-27.273521,-29.1,1.0,-6.8,1.0,2459229.984579,1,2.5047918,1,4.3797563,1,2270.5402194,1,8.6950898,1,1750.932635,,1649.8220699,,9.2386,1,,1,6616.0,1,,1,1.53429,1,2019-07-24 15:58:33,2021-10-29 12:59:15,,,2.6,2.2,0.002159,0.0004076,0.1036554,81.38088,8.438766,,,0.006,,200.0,,1.4887
8,1007.01,1007,65212867,65212867.01,1,PC,07h31m00.57s,112.752393,-04d27m48.09s,-4.463359,0.357,1.0,3.399,1.0,2459247.930695,1,6.9989206,1,3.953,1,2840.0,1,14.7752,1,448.744,,1282.0,,8.87759,1,283.291,1,6596.0,1,3.71,1,2.7,1,2019-07-24 15:58:33,2021-10-29 12:59:15,,,0.058,0.045,0.0013,1.37e-05,0.437,0.943618,0.764705,,,0.006,3.0025,139.2,0.09,0.13
9,1008.01,1008,440801822,440801822.01,1,FP,07h17m31.88s,109.382839,+13d23m42.79s,13.395219,-17.9,1.0,1.3,1.0,2460258.236122,1,2.0483755,1,2.767,1,483.0,1,3.19621,1,5644.4,,,,8.9362,1,144.297,1,6858.5,1,4.2,1,1.57,1,2019-07-24 15:58:33,2023-12-08 16:02:02,,,1.1,1.0,0.002805,5.5e-06,0.861,41.94,,,,0.012,,584.6,1.9,
10,1009.01,1009,107782586,107782586.01,1,PC,07h26m40.28s,111.667845,-24d27m43.6s,-24.462111,-3.297,1.0,4.849,1.0,2459229.230924,1,1.9600277,1,2.0065257,1,1707.6272693,1,,1,1063.3422958,,1456.4246534,,8.4331,1,866.147,1,8868.7,1,,1,,1,2019-07-24 15:58:33,2024-01-17 10:08:02,,,0.319,0.358,0.000389,2.5e-06,0.050591,49.601223,,,,0.028,172.097,809.8,,
11,101.01,101,231663901,231663901.01,1,KP,21h14m56.88s,318.737012,-55d52m18.71s,-55.871863,12.641,1.0,-16.011,1.0,2458326.009117,1,1.4303699,1,1.6165994,1,18960.7122944,1,13.1874503,1,1281.2408254,,1525.9048089,,12.4069,1,375.31,1,5600.0,1,4.48851,1,0.890774,1,2018-09-05 18:49:20,2024-09-06 10:08:02,,,0.044,0.041,0.000132,8e-07,0.0192089,184.79134,0.6576402,,,0.006,4.411,,,0.0438467
